,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
3136,FvD,2023,2023-02-22,"Wauw! De Gideonsbende staat voor de tweede week op rij op NUMMER 1 in de officiële bestsellerlijst van Nederland! #FVDHeb jij het nieuwe boek van @thierrybaudet al binnen? Zo niet, bestel ‘m hier! ➡️ https://t.co/LRLX6Kcmyx https://t.co/igPRs3aWVj",yes,opposition,right,conservative
3137,BBB,2023,2023-02-17,een heel fijne #carnaval#iederedagBBBeter,yes,opposition,right,conservative
3138,PVV,2022,2022-10-20,PVV almost No. 1!  👍,yes,opposition,right,conservative
3139,JA21,2022,2022-11-18,Lees ons plan hier 👉 https://t.co/dEiFLrBicV (2/2),yes,opposition,right,conservative
3140,PvdD,2022,2022-06-14,"@Siemzoekthetuit In Nispen is ruim 111.000 m2 landbouwgrond te koop. Wij willen deze grond omvormen tot een vluchtheuvel voor dieren, natuur en milieu. Zo zorgen we voor de uitbreiding van het Natuurnetwerk Brabant én geven we een signaal af aan het kabinet dat de tijd van afwachten voorbij is.",no,opposition,left,progressive
3141,ChristenUnie,2022,2022-07-14,ChristenUnie en SGP doen met eigen kandidatenlijsten mee aan Europese verkiezingen. Lees het hele bericht op onze site. 👇🏼 https://t.co/uDVz1Ie7s3,no,opposition,left,middle
3142,PvdD,2022,2022-08-20,Ruim een kwart van ons landschap is getransformeerd tot grasland met maar één doel: zoveel mogelijk melk produceren 🥛🥛Ook het grondwaterpeil wordt kunstmatig laag gehouden om de zuivelindustrie in stand te houden. Het kan (en moet) anders.#leestip👇https://t.co/C0tzKL27h5,no,opposition,left,progressive
3143,GroenLinks,2022,2022-03-03,"We zijn live!Kijk nu mee met de Meetup over Oekraïne, live vanuit Amsterdam. 🇺🇦https://t.co/hvxIvUHJD7",no,opposition,left,progressive
3144,PvdA,2022,2022-06-14,Met onze voorstellen laten we zien dat het écht anders kan: • Eenmalige najaarstoeslag van €500 voor mensen die zorgtoeslag ontvangen 🩺• Snelle verhoging van het minimumloon naar 14 euro 💰• Huurbevriezing van sociale huurwoningen 🏡 https://t.co/ymadMpwbWo,no,opposition,left,progressive
3145,PVV,2022,2022-06-04,Bah bah wat een smerige tweet vol leugens en valse insinuaties van die verstokte Wilders-hater @AndreKrouwel van de PvdA.,yes,opposition,right,conservative
3146,JA21,2023,2023-01-19,De impact van de #dwangwet van de VVD-staatssecretaris wordt nu echt duidelijk. Het kabinet gaat provincies verplicht tot tien keer meer #asielzoekers laten opvangen. Er zijn ook andere keuzes mogelijk. Daarvoor moet u bij #JA21 zijn. Het is tijd voor een #asielstop. https://t.co/wWJ4GHGdPd,yes,opposition,right,conservative
3147,BIJ1,2022,2022-09-22,Enkele voorbeelden die BIJ1 voorstelt zijn:▶️ een compensatie vergelijkbaar met de basisbeurs vóór het leenstelsel.▶️ het uitsluiten van studieschuld bij het aanvragen van een hypotheek.▶️ het afschaffen van collegeld.Over het voorstel stemmen we later vanavond.,no,opposition,left,progressive
3148,JA21,2022,2022-09-15,Wat een mooie avond! De campagneaftrap voor de Provinciale Statenverkiezingen 2023. Wij zijn ongelofelijk trots op onze kandidaat-Statenleden. JA21 staat voor een bestuur dat dienstbaar is aan de bevolking. De macht moet terug naar de burgers. Dat is waar wij voor strijden. https://t.co/GBB0gB0XPM,yes,opposition,right,conservative
3149,PVV,2022,2022-10-25,PVV 21 zetels! 👍,yes,opposition,right,conservative
3150,PVV,2022,2022-08-23,Rutte weigert hand Hoekstra.#stikstofdebat #Hoekstra #Rutte #DEBAT https://t.co/fEVMk19jp0,yes,opposition,right,conservative
3151,BBB,2022,2022-10-27,@DoelXvh @ChrisAalberts @DrJHAmsterdam Genietze!,yes,opposition,right,conservative
3152,VVD,2023,2023-02-17,We moeten doen wat nodig is om drugssmokkel via de havens tegen te gaan. Minister van Infrastructuur en Waterstaat @markharbers over de rol van havenbedrijven bij de aanpak van drugscriminelen bij Op1. Lees meer over de plannen. 👇https://t.co/hcYLp3ILCn https://t.co/RVx8LIEc0v,no,coalition,right,conservative
3153,BBB,2022,2022-07-20,@jackvdwolde Jij vindt het allemaal prima dus?,yes,opposition,right,conservative
3154,FvD,2022,2022-01-18,IC-verpleegkundige zwijgt niet langer : “We worden bedrogen!” https://t.co/Cnze3SWxvX,yes,opposition,right,conservative
3155,PVV,2022,2022-06-09,"Honderden, duizenden ik kan het niet meer bijhouden. Dagelijks stromen ze binnen, de een nog smerig dan de ander. Wat ik wel weet is dat in het buitenland nog nooit iemand is gearresteerd of vervolgd laat staan veroordeeld. (Antwoorden minister Hoekstra op vragen CU) https://t.co/BaZBvqgLCN",yes,opposition,right,conservative
3156,PvdD,2023,2023-02-16,"Studeren moet voor iedereen beschikbaar, betaalbaar, en toegankelijk zijn! Weg met het leenstelsel. De Partij voor de Dieren wil een verhoging van de basisbeurs, betere compensatie voor de pechstudenten en 0% rente over de studieschuld.@WassenbergFrank over de basisbeurs 👇 https://t.co/m08JoIFnya",no,opposition,left,progressive
3157,JA21,2022,2022-12-06,"Als deze drie voorstellen door de Tweede Kamer komen, is Nederland eindelijk verlost van het stikstofslot.Vandaag presenteren wij in samenwerking met @BoerBurgerB een #initiatiefnota om de grote knelpunten in het stikstofdossier op te lossen. #Stikstof #Stikstofcrisis https://t.co/FplIeOAOQA",yes,opposition,right,conservative
3158,JA21,2022,2022-02-01,De tijd om terug te keren naar het oude normaal is aangebroken. Onze coronawoordvoerder @NickiVerweij licht het toe:#Coronadebat https://t.co/4F3My2hbrj,yes,opposition,right,conservative
3159,PvdD,2023,2023-02-02,"Shell boekt dit jaar recordwinst van 40 miljard. Kabinet maakt ieder jaar 17,5 miljard aan fossiele subsidies over naar bedrijfsleven. Maar de plannen van de Partij voor de Dieren zijn oneerlijk voor gewone mensen? 🧐 Volg het debat over de klimaatwet: https://t.co/83qmZYkxb8 https://t.co/9Nh4HXEyHD",no,opposition,left,progressive
3160,GroenLinks,2022,2022-05-31,"#MeerTreinenMinderVliegen! Maak van de internationale trein de makkelijkste en meest betaalbare optie, in plaats van de luchtvaart continu te bevoordelen.🚆 Deel de oproep van Kamerlid @suzanne_GL en Europarlementariër @BasEickhout: https://t.co/Kv59e0FHXM",no,opposition,left,progressive
3161,DENK,2022,2022-05-17,@ernest_colic We beheersen de taal prima. De regering heeft onderscheid gemaakt tussen hen die uit Oekraïne naar NL zijn gevlucht maar geen asielprocedure hoeven te doorlopen en zij uit andere landen die dat wel moeten. Het gaat dus niet om taal maar om de definitie die het kabinet geeft.,no,opposition,left,progressive
3162,PvdD,2022,2022-06-23,"""De afgelopen 20 jaar is het aantal dieren in de Nederlandse veehouderij nagenoeg gelijk gebleven, het aantal boeren gehalveerd"" @estherouwehand Dat moet juist andersom: minder dieren, meer boeren 🐷🐮🐔 #stikstofdebat #meerboerenminderdieren https://t.co/GcQr4ceGHR",no,opposition,left,progressive
3163,VVD,2023,2023-03-08,"""Dit is een kwestie van nationale veiligheid.We willen voorkomen dat Nederlandse apparatuur wordt gebruikt voor militaire toepassingen.""Minister @LSchreinemacher in de Telegraaf. 👇https://t.co/QkTEjVg9xS",no,coalition,right,conservative
3164,SP,2022,2022-10-06,Luistertip! 📻SP-Kamerlid Michiel van Nispen is straks te gast bij @DitisdeDag over de risico's van online gokken en het verbieden van gokreclames.Luister straks vanaf 18:30 uur mee via @NPORadio1. https://t.co/dcYghOg7lu,yes,opposition,left,progressive
3165,BBB,2022,2022-07-22,@SchrauwenLandb @PatrickAJansen @ministerlnv @MinisterNenS @MinPres Jammer dat veel geïmporteerd voedsel van een lagere standaard mag zijn dan de eisen voor onze eigen boeren. Qua duurzaamheid en diervriendelijkheid.Gelukkig is het eigen straatje wel schoongeveegd. Dat wel.,yes,opposition,right,conservative
3166,BBB,2022,2022-08-10,Ff terug op het 'fort',yes,opposition,right,conservative
3167,JA21,2022,2022-02-06,@Neorej01 Leuk idee!,yes,opposition,right,conservative
3168,DENK,2022,2022-03-12,"Dit is dus wat er gebeurt wanneer je strijdt voor de kwetsbaren en ongehoorden. Wanneer DENK-fractievoorzitter @F_azarkan op campagne is in Den Haag en met een kiezer spreekt, wordt hij hardhandig gedwongen zijn gesprek met een kiezer te staken. #stemDENK #DENKvooriedereen https://t.co/5ypo7J0UOC",no,opposition,left,progressive
3169,BBB,2022,2022-04-18,@RealMartinDH1 Jouw stelling was wel onderbouwd?,yes,opposition,right,conservative
3170,D66,2023,2023-02-17,"“Rusland kan vandaag stoppen, dan is de oorlog voorbij. Oekraïne heeft die keuze niet, dan is er geen land meer.”Defensieminister @KajsaOllongren over steun aan Oekraïne, bouwen aan de krijgsmacht en internationale eenheid. “Oekraïne kan op ons rekenen.”https://t.co/uvyjFKmu2R",no,coalition,middle,progressive
3171,GroenLinks,2022,2022-09-02,Door de klimaatcrisis krijgen vooral armere landen die minder uitstoten het zwaar te verduren. Klimaatrechtvaardigheid betekent dat de sterkste schouders de zwaarste lasten dragen: ook internationaal. Wij moeten ons steentje bijdragen en extra geld sturen.https://t.co/0GOBczLnoA,no,opposition,left,progressive
3172,BIJ1,2022,2022-11-18,"""Ik denk dat investeren in de zorgvragen die veel mensen hebben, vele malen meer doet voor het tegengaan van criminaliteit dan de volgende lading agenten ooit zou kunnen bewerkstelligen.""@SylvanaBIJ1 tijdens de begroting van Justitie en Veiligheid. https://t.co/zvyuKQqezg",no,opposition,left,progressive
3173,BBB,2022,2022-07-11,Dit pakken we samen met @PieterOmtzigt op,yes,opposition,right,conservative
3174,BBB,2022,2022-04-10,"@HarryNGBrinkman @nicodelange1 @lientje1967 Nee Harry, zo ging het niet. Ze nam/had geen tijd om moet boeren te praten, maar ging wel de pers te woord staan. Debat was pas 20 minuten later. Zo ging het.",yes,opposition,right,conservative
3175,BBB,2022,2022-07-21,Nieuwe peilingen...,yes,opposition,right,conservative
3176,BIJ1,2022,2022-05-17,"Het is de Internationale dag tegen LHBTIQA-haat. Oftewel IDAHOBIT.We moeten ons blijven uitspreken en verzetten tegen stigmatisering, discriminatie en vervolging van LHBTIQA-personen.En blijven strijden voor het recht om te zijn wie je bent, en te houden van wie je houdt. https://t.co/ipGsardzPf",no,opposition,left,progressive
3177,JA21,2022,2022-03-25,De bijeenkomst van Jong21 was snel vol. Gelukkig konden wij extra kaarten beschikbaar stellen! Tussen de 16 en de 30? Lid van JA21? Of wil je de partij leren kennen? Wees welkom! Met Joost @Eerdmans en ons Zuid-Hollandse Statenlid @Mpcsandmann. Aanmelden: https://t.co/Q1WWrtkwfs https://t.co/cWO2IrNNuN,yes,opposition,right,conservative
3178,SGP,2022,2022-11-21,Lees hier het artikel van @ADnl over het onderzoek. https://t.co/yL4czr09Hi,no,opposition,right,conservative
3179,GroenLinks,2023,2023-02-14,"@Hodlape2 Door ons beleid zitten mensen in de kou? Het prijsplafond, dat voor zoveel mensen het verschil betekent tussen de rekening wel en niet kunnen betalen, kwam er na aandringen van PvdA en GroenLinks.",no,opposition,left,progressive
3180,BBB,2022,2022-07-31,@ehjongsma @Pascal_Amsterda @ChrisAalberts @ZihniOzdil @lientje1967 Daar zijn we al mee bezig vanaf maart 2021,yes,opposition,right,conservative
3181,PVV,2023,2023-01-23,Sterkte @RicharddeMos en laat je niet gek maken door die heksenjacht van het @Het_OM!,yes,opposition,right,conservative
3182,PVV,2022,2022-02-24,Nissewaard ❤️ https://t.co/tPuZfNDoig,yes,opposition,right,conservative
3183,ChristenUnie,2022,2022-09-21,"""En dan moeten we meer inzetten op een duurzame economie, op onze eigen, schone energie en op een leven waarin we niet meer verslaafd zijn aan meer, maar genieten van genoeg."" (2/2) - @gertjansegers tijdens #APB2022",no,opposition,left,middle
3184,VVD,2022,2022-04-13,"""Als het een keer misgaat met zo’n drone kost het alleen maar materiaal en geen mensenlevens.”Tweede Kamerlid @pvalstar over de meerwaarde van bewapende drones. 👇https://t.co/ywwqxYlKpd",no,coalition,right,conservative
3185,PvdD,2022,2022-01-27,@PastaOlandese @groenlinks @AmsterdamNL Uiteraard: https://t.co/p0ZlVeIbai,no,opposition,left,progressive
3186,VVD,2022,2022-11-14,"""Deepfakes zijn steeds minder goed van echte video’s te onderscheiden. Dat is gevaarlijk. Zo zie je veel mensen slachtoffer worden van neppe wraakpornovideo's.""Tweede Kamerlid @QueenyRaj over het gevaar van destructieve deepfake-video's. https://t.co/Jo2cR3kFE6",no,coalition,right,conservative
3187,PVV,2022,2022-06-22,Bedankt boerin Marjan met dochters voor de koffie en de gastvrijheid vanmorgen en erg leuk @lientje1967 om je er te zien nadat je al de koeien had gemolken - dat doe ik je niet na 😁 https://t.co/gifdguZyji,yes,opposition,right,conservative
3188,BBB,2022,2022-08-09,"@SchrieverB @BbbGroningen @lientje1967 @fvdemocratie Bram, wat wil je hiermee zeggen?",yes,opposition,right,conservative
3189,Volt,2022,2022-02-11,@JVSTINSTEVENS Ik zal jou er een sturen. Hopelijk lukt het dan wel. ^Mylène,no,opposition,middle,progressive
3190,DENK,2022,2022-07-04,Presbyteriaanse Kerk noemt Israël apartheidsstaat. Wanneer volgt Nederland? #mensenrechten #palestina 🇵🇸 https://t.co/mYwQxcqakh,no,opposition,left,progressive
3191,GroenLinks,2022,2022-01-17,"@Jacob12640507 Dat is een foto van de NOS, die hebben wij niet uitgekozen.",no,opposition,left,progressive
3192,BBB,2023,2023-02-10,"Als de BBB haar eigen verwachtingen waarmaakt, wordt VVD-verlater Ilona Lagas de leider van een van de grootste fracties in de Eerste Kamer. Als lokaal politicus kwam ze al op voor boeren en andere ondernemers en was ze creatief met de wet. ⤵️https://t.co/BgU5cFoHqv",yes,opposition,right,conservative
3193,DENK,2022,2022-04-05,Meet Nederland met twee maten wanneer het gaat om het vluchtelingenbeleid in Nederland? Ben je alleen welkom als je blauwe ogen en blond haar hebt? DENK staat voor ELKE #vluchteling! #Oekraïnehttps://t.co/0DcOT2v45a https://t.co/3YwHBDU4bt,no,opposition,left,progressive
3194,D66,2023,2023-02-17,"Nederlanders willen klimaatactie! Maar niet iedereen heeft geld om zijn huis te verduurzamen of een elektrische auto te kopen.Onze @RobJetten zorgt ervoor dat vervuilers betalen. Zodat het geld dat bestemd is voor een beter klimaat, gaat naar degene die het kan gebruiken. https://t.co/aD3ZAzeLuP",no,coalition,middle,progressive
3195,SGP,2022,2022-02-09,"""Met de abortuspil wordt een definitief einde gemaakt aan een wonder. Die wetenschap weegt voor mij heel zwaar.""Ga voor de hele bijdrage van @chris_stoffer aan het debat over de #abortuspil naar: https://t.co/IED8X8MEx5 https://t.co/BovrU00TB0",no,opposition,right,conservative
3196,PvdA,2022,2022-09-20,"""Veel wat er gebeurt lijkt omvangrijk, maar is voor één jaar en doet nog té weinig om mensen écht te belonen die hard aan het werk zijn. Doet nog té weinig voor de huurders. En het remt armoede wel wat af, maar voorkomt het niet.""De reactie van @attjekuiken op de #troonrede. ⤵️ https://t.co/wKNX3Vpg3t",no,opposition,left,progressive
3197,BBB,2022,2022-01-31,@Intenso60 @lientje1967 @CoPro5feb Zodanig dat het overeenkomt met de nieuwste regeling.,yes,opposition,right,conservative
3198,DENK,2022,2022-07-07,"Ook dit jaar zijn weer veel ongeregeldheden voor vakantiegangers die met de auto op reis gaan. Hogere brandstofprijzen voor buitenlanders in Hongarije, corrupte douaniers en de beschamende desinfectie gelden aan de Bulgaars-Turkse grens. En dit in Europa! https://t.co/6TdKW3Swjn",no,opposition,left,progressive
3199,PvdD,2022,2022-06-08,"""De kern van het voedselprobleem is dit: dieren eten gemiddeld zes keer meer proteïne dan ze produceren. Zonder tussenkomst van een verspillend dier, is een kilo tarwe een kilo voedsel."" 🌾🐔🐮🐷 https://t.co/D8NFkS3Fxc",no,opposition,left,progressive
3200,GroenLinks,2023,2023-02-27,"Vanavond om 19.30 uur in het Sieraad in Amsterdam: Townhall met o.a. @jesseklaver, @attjekuiken, @jeroenolthof, @anoukmgielen, @ImaneAmsterdam en @TimSJongers. Over kansenongelijkheid en de aankomende verkiezingen.Zien we je daar? https://t.co/W4HNhyu5TX https://t.co/kMoi26mR7O",no,opposition,left,progressive
3201,PVV,2022,2022-07-27,"Loop door menig stad in Nederland en je zie het: we worden steeds meer vreemden in ons eigen land. De open grenzen en massaimmigratie hebben geleid tot verloedering, onveiligheid en terreur. Nederland is Nederland niet meer. Laat me vier jaar regeren en Nederland is weer van ons!",yes,opposition,right,conservative
3202,BIJ1,2022,2022-11-05,"Als de overheid weigert in te grijpen tegen iets belachelijks als privéjets, doen activisten het zelf wel!Toch kunnen niet zij of de planeet, maar de rijken vandaag weer op bescherming rekenen. Tekenend voor waar de prioriteiten liggen.Solidariteit!https://t.co/CpzDKpuYLb",no,opposition,left,progressive
3203,D66,2023,2023-01-11,@N_2_The_E Fijn om te horen dat we zo’n positief effect op je hebben Niels! ^Noa,no,coalition,middle,progressive
3204,GroenLinks,2022,2022-01-18,"We kunnen wel meer huizen bouwen, maar als die worden opgekocht door beleggers helpt dat niet om de wooncrisis op te lossen.Bezit van meerdere huizen is nu veel te aantrekkelijk. Terwijl veel mensen überhaupt geen huis kunnen kopen of betaalbaar huren.@jesseklaver #debat",no,opposition,left,progressive
3205,D66,2023,2023-02-03,"@PeterBaars1111 Dag Peter, mensen mogen van smaak verschillen in een democratie! ^Ivo (PS. je hoeft niet te kijken hè…)",no,coalition,middle,progressive
3206,PvdA,2022,2022-03-15,"“Als we zwijgen, dan verliezen we. Onze stem moet nú doorklinken. En uw stem zal ook moeten doorklinken als u naar de stembus gaat.” - @TimmermansEUDeze verkiezingen staat er écht wat op het spel. Dus laat je horen. Ga stemmen, vandaag of morgen! #StemSociaal #GR2022 https://t.co/7G6AYDR7Hz",no,opposition,left,progressive
3207,BIJ1,2022,2022-02-13,"Goed om te zien dat ook andere partijen zich inmiddels tegen extreemrechts keren.Racisme en facisme horen geen plek te krijgen in onze samenleving. Het is belangrijk ons daar tegen te verzetten. Niet alleen nu het populair is, maar altijd. https://t.co/WNKPSkWgm9",no,opposition,left,progressive
3208,FvD,2022,2022-07-05,"Er is iets fundamenteel mis met de democratie. De kloof tussen burger en politiek is enorm. Kijk maar naar stikstof, of immigratie. #FVD wil de macht weer terugleggen bij de burger. @thierrybaudet en @pvanhouwelingen komen met een wetsvoorstel! https://t.co/sA955CnCyj #referendum",yes,opposition,right,conservative
3209,BBB,2023,2023-02-15,‘Dit is echt vol in de aanval en ik dacht dat wij als toekomstige senatoren toch anders moeten kijken hoe we met de politiek omgaan. [..] Iedereen die een vlag koopt betaalt hem allemaal zelf gewoon uit de website’ - @ilona_lagas tegen Niko Koffeman (PvdD) #IederedagBBBeter https://t.co/Squdr2vlNw,yes,opposition,right,conservative
3210,D66,2022,2022-03-08,🇪🇺 Hoe werkt het kabinet aan een sterker Europa? Hoe wordt Europa daadkrachtiger? En wat houdt die nieuwe en andere houding in Europa eigenlijk in?Daarover spreekt vicepremier en minister van Financiën @SigridKaag vanaf 13.00u bij @_StudioEuropa 👇https://t.co/AthKkCrJou,no,coalition,middle,progressive
3211,BBB,2022,2022-07-25,@PPeijnenburg @hermans_sophie @jpaternotte @PieterHeerma @gertjansegers Er is een Stikstofwet en dus een probleem dat opgelost moet worden. Dat negeren is jezelf buiten elke realiteit plaatsen.,yes,opposition,right,conservative
3212,PVV,2022,2022-01-23,💡Terroristen ook welkom,yes,opposition,right,conservative
3213,BBB,2022,2022-10-24,"Help de Wajonger niet in, maar uit de problemen!",yes,opposition,right,conservative
3214,JA21,2022,2022-03-18,"🚨 Er zijn nog een paar kaarten over! De JA21 Provincietour stopt morgen in Gelderland! @Eerdmans, @MGoudzwaard058 en @Rob_Roos komen naar Ede. U bent van harte welkom om met hen in gesprek te gaan over de toekomst van 🇳🇱. Kom ook! Aanmelden kan hier 👇https://t.co/90buDFypsm",yes,opposition,right,conservative
3215,BBB,2022,2022-09-26,@Nicetalkingtoy1 @dukkie6 @Rood70 Ook niet,yes,opposition,right,conservative
3216,BBB,2022,2022-02-10,@soefsje @JacoGeurts Binnen ons fractieteam is uitgebreide praktijkervaring. Zoals bij het Gelderse programma Vitale Vakantieparken.,yes,opposition,right,conservative
3217,SP,2022,2022-03-15,"Het is een grove schande dat in een rijk land zoals Nederland kinderen met honger naar school gaan of thuisblijven wanneer ze jarig zijn, omdat ze niet kunnen trakteren.Kinderarmoede halveer je niet, zoals D66 wil. Die hef je op! #StemSP #nederlandkiest #strijdmee https://t.co/nIUtStMUyE",yes,opposition,left,progressive
3218,SP,2023,2023-02-18,Werden resultaten door Defensie aangepast om tegen de wil van de bevolking en de gemeente in toch een radarstation in Herwijnen te plaatsen? SP-fractievoorzitter in de Eerste Kamer Rik Janssen wil de onderste steen boven hebben en stelde er vragen over 👇https://t.co/DlaTIAX6DO,yes,opposition,left,progressive
3219,DENK,2022,2022-06-02,"@SlapendNL @F_azarkan NCTV valt onder de minister. Derhalve gaat dit debat over illegale praktijken van een overheidsafdeling en is ingezet vanuit de controlefunctie van de Tweede Kamer richting de regering. Voor @DenkNL een extra belangrijk debat omdat dit de rechtsstaat raakt, speerpunt van DENK.",no,opposition,left,progressive
3220,PvdD,2023,2023-02-23,"""De grote wanhoop onder boeren is begrijpelijk. En daarom moeten we kiezen voor een houdbare toekomst. Voor de natuur, voor de dieren en voor de gezondheid van mensen en voor de boeren""@estherouwehand tijdens het debat over #stikstof 🔥 https://t.co/CeS22Lafg4",no,opposition,left,progressive
3221,PvdD,2022,2022-03-04,4️⃣4️⃣ Er komt een wethouder voor Klimaat &amp; Biodiversiteit en al het gemeentelijke beleid wordt getoetst op duurzaamheid.💚♻️#100redenen om #PvdD te stemmen #GR2022 #allekleinebeestjeshelpen https://t.co/laYbBD6uis,no,opposition,left,progressive
3222,DENK,2022,2022-06-07,Live meekijken en meeluisteren? https://t.co/hT4goQJ8co,no,opposition,left,progressive
3223,SP,2022,2022-08-26,"Door de tekorten in de zorg ontstaan er schrijnende situaties. Het kabinet wil nóg meer bezuinigingen, terwijl we juist extra moeten investeren.Werk of woon jij in een verpleeghuis of heb je familie of bekenden in een verpleeghuis? Deel jouw ervaring!👉 https://t.co/v0Uw8zcF5e https://t.co/hiN8pkHviC",yes,opposition,left,progressive
3224,GroenLinks,2022,2022-07-05,Zul je net zien dat niemand deze tweet ziet omdat het te weinig verontwaardiging oproept.,no,opposition,left,progressive
3225,SGP,2022,2022-02-08,@graaf881 De SGP was van meet af aan tegen 3G en tegen de coronapas.,no,opposition,right,conservative
3226,BIJ1,2022,2022-08-31,"Oorlog ontvlucht, om hier opnieuw geconfronteerd te worden met geweld. Dat is wat de haat en leugens van extreemrechts creëren.Enkel en alleen vanwege de xenofobe overtuiging dat vluchtelingen niet welkom zijn.Dit mogen we niet tolereren.https://t.co/pRK2XWfwWu",no,opposition,left,progressive
3227,D66,2023,2023-01-05,Wat is de favoriete lunch van @ministerVWS Ernst Kuipers? Hoe kijkt hij naar het dalende vertrouwen in de wetenschap? En wat deed minister Kuipers in het Utrechtse XTC-museum? Je ziet het in deze video 👇 https://t.co/hzkSt8NVee,no,coalition,middle,progressive
3228,PvdD,2022,2022-09-20,@cajuka2008 @estherouwehand Windparken zijn niet ideaal voor het zeeleven. We willen daarom slechts in een relatief klein deel van de Noordzee windmolens neerzetten. De ontwrichting van klimaat maakt dit onvermijdelijk. Ook voor het zeeleven is het van belang dat we de opwarming van de aarde tegenhouden.,no,opposition,left,progressive
3229,JA21,2022,2022-11-24,"Goed onderwijs maakt in elke leerling talenten wakker die passen bij het kind. Een brede brugklas leidt tot middelmatigheid. ""Het doet geen recht aan de praktisch ingestelde leerlingen en het demotiveert gymnasiasten. De eerste groep wil doen, de tweede wil wéten."" @NickiVerweij https://t.co/RK0RABnpyq",yes,opposition,right,conservative
3230,BBB,2023,2023-02-27,@AsbroekNick @GroenHattem @JuisteAntwoord @PSverkiezingen wij staan ook aan kop met het aantal schaatsers en ooievaars per hectare....,yes,opposition,right,conservative
3231,PvdD,2023,2023-02-24,"Hoe kan het groener, diervriendelijker en socialer?💚 Je kunt nu nog kiezen! Kijk morgen live mee 👉 https://t.co/xKocailMTx #verkiezingen #provincialestaten #ps23 https://t.co/ZWZEhEnw3P",no,opposition,left,progressive
3232,PvdD,2022,2022-02-23,@SuuzSuper @aardloper De Partij voor de Dieren heeft niet voor verlenging van de tijdelijke wet maatregelen corona gestemd. Via deze link kun je lezen dat we tegen deze tijdelijke wet hebben gestemd: https://t.co/BOZPhh3MDr M.b.t. de A-status zie svp: https://t.co/1oXhET1Jju,no,opposition,left,progressive
3233,BBB,2022,2022-08-15,@ChrisAalberts Niet zo ingewikkeld hoor. Er ligt 25 miljard klaar in een onzinnig fonds.De genoemde bezuinigingen leveren trouwens in de praktijk ook helemaal niets op en leiden op andere plekken alleen maar tot meer kosten. Zoals bijvoorbeeld overbelaste mantelzorgers en ziekenhuiskosten.,yes,opposition,right,conservative
3234,PVV,2022,2022-05-17,"Links voor binnenkomst premier, rechts na vertrek premier. #Koekjespremier 😁 https://t.co/0Cnw9eqwGC",yes,opposition,right,conservative
3235,PvdD,2022,2022-01-26,@inge60425462 @EvavanEsch Fijn dat je achter ons standpunt staat. We hebben ons vanaf het begin tegen vaccinatiedwang uitgesproken. Dit zullen we ook blijven doen!Lees hier meer: https://t.co/pGE20O2JUl,no,opposition,left,progressive
3236,FvD,2022,2022-10-03,🎬 De eerste aflevering van Forum Inside gaat NU in première: Een kijkje achter de schermen van de Tweede Kamer en de media! Kijken doe je hier: #FVD https://t.co/wnAxNbhAyM,yes,opposition,right,conservative
3237,JA21,2022,2022-08-25,Lees hier ons 'Actieplan Veiligelanders': https://t.co/4PsduODZf3 (2/2),yes,opposition,right,conservative
3238,DENK,2022,2022-04-19,RECONSTRUCTIE:Al die zwart gelakte WOB-bestanden zat? DENK zet de #mondkapjesdeal-gesprekken voor je om in Whatsapp-gesprekken. Lees hier: Het gesprek tussen minister Hugo de Jonge en oud-minister Martin van Rijn. Een gesprek achter de rug van Sywert!https://t.co/8ByOnL5rOv https://t.co/xosf8cnETH,no,opposition,left,progressive
3239,DENK,2022,2022-09-01,@StephanvBaarle is het 2e DENK-Kamerlid in de Index. 77 vd 168 van zijn moties zijn aangenomen. Aangenomen amendementen bij behandeling vd Wet educatie en beroepsonderwijs en zijn initiatiefnota over eeuwigdurende grafrust heeft gezorgd voor deze mooie plaats op de Index. Trots! https://t.co/BObSsIvf3I,no,opposition,left,progressive
3240,FvD,2022,2022-11-04,"Vanmiddag is de eerste JFVD-borrellezing! Rick de Vries trapt af met een verhaal over gezonde voeding. In het bijzonder rauwe melk. Plek is beperkt, dus haal gelijk je ticket via de link hieronder. Tot straks! #FVDhttps://t.co/lCW3ihFxzI",yes,opposition,right,conservative
3241,PvdD,2022,2022-09-20,@AlexKrouwel @estherouwehand Windparken zijn niet ideaal voor het zeeleven. We willen daarom slechts in een relatief klein deel van de Noordzee windmolens neerzetten. De ontwrichting van klimaat maakt dit onvermijdelijk. Ook voor het zeeleven is het van belang dat we de opwarming van de aarde tegenhouden.,no,opposition,left,progressive
3242,SGP,2023,2023-03-03,"""Ik las dat grote mediadebatten weinig impact hebben, dus dat relativeert de zaak. Maar wat zou het mooi zijn als we vandaag samen tot de conclusie komen dat we elkaar nodig hebben.""- Afzwaaiend SGP-Statenlid Dirk van Dijk uit Overijssel bij het #radio1debat",no,opposition,right,conservative
3243,DENK,2023,2023-02-22,DENK blijft groeien en staat in de peilingen van EenVandaag op ÉÉN Eerste Kamerzetel! Maar we zijn er nog niet. Tijdens de Provinciale Statenverkiezingen kan jij DENK nog groter maken. Stem daarom DENK op 15 maart 2023! #DENKvoorIedereen https://t.co/J9TuJarLNW,no,opposition,left,progressive
